"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.002121","127.0.0.1","127.0.0.1","TCP","74","3000  >  53220 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=1672485200 TSecr=1672485198 WS=128"
"4","0.002592","127.0.0.1","127.0.0.1","TCP","67","3000  >  53220 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=1 TSval=1672485201 TSecr=1672485200"
"7","0.002752","127.0.0.1","127.0.0.1","TCP","66","3000  >  53220 [ACK] Seq=2 Ack=2 Win=65536 Len=0 TSval=1672485201 TSecr=1672485201"
"8","0.030461","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2 Ack=2 Win=65536 Len=66 TSval=1672485229 TSecr=1672485201"
"11","0.054982","127.0.0.1","127.0.0.1","TCP","66","3000  >  53220 [ACK] Seq=68 Ack=1026 Win=64512 Len=0 TSval=1672485253 TSecr=1672485253"
"12","0.083449","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=68 Ack=1026 Win=65536 Len=66 TSval=1672485282 TSecr=1672485253"
"15","0.107893","127.0.0.1","127.0.0.1","TCP","66","3000  >  53220 [ACK] Seq=134 Ack=2050 Win=64512 Len=0 TSval=1672485306 TSecr=1672485306"
"16","0.136008","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=134 Ack=2050 Win=65536 Len=66 TSval=1672485334 TSecr=1672485306"
"18","0.160702","127.0.0.1","127.0.0.1","TCP","66","3000  >  53220 [ACK] Seq=200 Ack=3074 Win=64512 Len=0 TSval=1672485359 TSecr=1672485359"
"19","0.189162","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=200 Ack=3074 Win=65536 Len=66 TSval=1672485387 TSecr=1672485359"
"21","0.238708","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=266 Ack=4098 Win=65536 Len=66 TSval=1672485437 TSecr=1672485412"
"23","0.285545","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=332 Ack=5122 Win=65536 Len=66 TSval=1672485484 TSecr=1672485459"
"25","0.333196","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=398 Ack=6146 Win=65536 Len=66 TSval=1672485531 TSecr=1672485506"
"27","0.380224","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=464 Ack=7170 Win=65536 Len=66 TSval=1672485578 TSecr=1672485553"
"29","0.430027","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=530 Ack=8194 Win=65536 Len=66 TSval=1672485628 TSecr=1672485602"
"31","0.481472","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=596 Ack=9218 Win=65536 Len=66 TSval=1672485680 TSecr=1672485652"
"33","0.532542","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=662 Ack=10242 Win=65536 Len=66 TSval=1672485731 TSecr=1672485703"
"35","0.581794","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=728 Ack=11266 Win=65536 Len=66 TSval=1672485780 TSecr=1672485753"
"37","0.631029","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=794 Ack=12290 Win=65536 Len=66 TSval=1672485829 TSecr=1672485803"
"39","0.680984","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=860 Ack=13314 Win=65536 Len=66 TSval=1672485879 TSecr=1672485852"
"41","0.732387","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=926 Ack=14338 Win=65536 Len=66 TSval=1672485931 TSecr=1672485903"
"43","0.784058","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=992 Ack=15362 Win=65536 Len=66 TSval=1672485982 TSecr=1672485954"
"45","0.835678","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1058 Ack=16386 Win=65536 Len=66 TSval=1672486034 TSecr=1672486006"
"47","0.887378","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1124 Ack=17410 Win=65536 Len=66 TSval=1672486086 TSecr=1672486058"
"49","0.938770","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1190 Ack=18434 Win=65536 Len=66 TSval=1672486137 TSecr=1672486110"
"51","0.990805","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1256 Ack=19458 Win=65536 Len=66 TSval=1672486189 TSecr=1672486161"
"53","1.042564","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1322 Ack=20482 Win=65536 Len=66 TSval=1672486241 TSecr=1672486213"
"55","1.094382","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1388 Ack=21506 Win=65536 Len=66 TSval=1672486293 TSecr=1672486265"
"57","1.145997","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1454 Ack=22530 Win=65536 Len=66 TSval=1672486344 TSecr=1672486316"
"59","1.197472","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1520 Ack=23554 Win=65536 Len=66 TSval=1672486396 TSecr=1672486368"
"61","1.248809","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1586 Ack=24578 Win=65536 Len=66 TSval=1672486447 TSecr=1672486419"
"63","1.300505","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1652 Ack=25602 Win=65536 Len=66 TSval=1672486499 TSecr=1672486472"
"65","1.352144","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1718 Ack=26626 Win=65536 Len=66 TSval=1672486550 TSecr=1672486523"
"67","1.404318","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1784 Ack=27650 Win=65536 Len=66 TSval=1672486603 TSecr=1672486575"
"69","1.456380","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1850 Ack=28674 Win=65536 Len=66 TSval=1672486655 TSecr=1672486627"
